City_ID,City,Country,Lat,Lon,Max Temp,Description,Hotel Name
354,Laguna,BR,38.421,-121.4238,84.31,clear sky,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
355,Shimanovsk,RU,52.0,127.7,82.22,clear sky,Гостиница Домашняя
356,Susanville,US,40.4163,-120.653,76.84,clear sky,Comfort Inn & Suites
357,Mudanjiang,CN,44.5833,129.6,77.14,scattered clouds,Landi Express Business Hotel
358,Norfolk,US,42.1668,-71.2495,78.98,clear sky,Residence Inn by Marriott Boston Norwood/Canton
359,North platte,US,41.1239,-100.7654,78.69,clear sky,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
360,Ambon,ID,-3.6954,128.1814,82.54,scattered clouds,Swiss-Belhotel Ambon
361,Port hedland,AU,-20.3167,118.5667,80.65,clear sky,The Esplanade Hotel
362,Tracy,US,37.7397,-121.4252,82.51,clear sky,"Holiday Inn Express & Suites Tracy, an IHG Hotel"
363,Atambua,ID,-9.1061,124.8925,80.6,few clouds,Kost Alfa Flat
364,Roebourne,AU,-20.7833,117.1333,80.02,clear sky,Latitude20 Roebourne Village
365,Ukiah,US,39.1502,-123.2078,76.89,clear sky,Hampton Inn Ukiah
366,Balikpapan,ID,-1.2675,116.8289,85.19,few clouds,Swiss-Belhotel Balikpapan
367,Van buren,US,35.4368,-94.3483,82.42,clear sky,Hampton Inn Van Buren
368,Southbridge,NZ,42.0751,-72.0334,77.11,few clouds,Southbridge Hotel & Conference Center
369,Mao,TD,39.8885,4.2658,75.76,clear sky,ARTIEM Capri
370,Winnemucca,US,40.973,-117.7357,76.6,clear sky,Winners Inn Casino
371,Banjar,ID,-8.19,114.9675,81.93,scattered clouds,The Hamsa Resort
372,Dzilam gonzalez,MX,21.2833,-88.9333,79.65,scattered clouds,posadas
373,Weston,US,26.1004,-80.3998,84.02,scattered clouds,Courtyard by Marriott Fort Lauderdale Weston
374,Santarem,BR,-2.4431,-54.7083,77.13,clear sky,Hotel Imperador
375,Phuket,TH,8.0,98.25,84.09,few clouds,The Surin
376,Samandag,TR,36.0842,35.9771,82.92,clear sky,Anadolu Palace Hotel
377,Aden,YE,12.7794,45.0367,82.31,few clouds,Sama Emirate Hotel
378,Nabire,ID,-3.3667,135.4833,83.88,scattered clouds,Hotel Nusantara I
379,Koriyama,JP,37.4,140.3833,87.19,few clouds,Comfort Hotel Koriyama
380,Bandarbeyla,SO,9.4942,50.8122,81.48,clear sky,JABIR HOTEL
381,Celestun,MX,20.8667,-90.4,81.64,clear sky,Posada Lilia
382,Alihe,CN,50.5667,123.7167,78.75,scattered clouds,Alihe Forestry Hotel
383,Ankang,CN,32.68,109.0172,84.9,scattered clouds,安琪酒店
384,Hohhot,CN,40.8106,111.6522,79.09,clear sky,Sheraton Hohhot Hotel
385,Vanimo,PG,-2.6741,141.3028,84.51,few clouds,Vahmoneh Lodge Vanimo
386,Udine,IT,46.0619,13.2422,77.81,clear sky,Best Western Hotel Continental
387,San javier,BO,37.8063,-0.8374,77.13,clear sky,Hotel Mar Menor
388,San joaquin,BO,37.9333,-121.3011,82.65,clear sky,University Plaza Waterfront Hotel
